date,symbol,open,close,low,high,volume
24/02/2018,ETHUSD,856.58,876.43,810.18,833.09,18486822.41
25/02/2018,ETHUSD,833.09,849.94,818,840.87,11990530.84
26/02/2018,ETHUSD,840.87,878.25,836.32,866.45,17877672.65
27/02/2018,ETHUSD,866.45,894.9,860,870.5,20948713.8
28/02/2018,ETHUSD,870.5,888,847.59,849.81,14827583.75
01/03/2018,ETHUSD,849.81,879,843.99,868.75,17147944.45
02/03/2018,ETHUSD,868.75,876,847.5,855.3,17966118.48
03/03/2018,ETHUSD,855.3,866.08,850,854.6,5423369.11
04/03/2018,ETHUSD,854.6,867,835.32,862.9,8483515.52
05/03/2018,ETHUSD,862.9,870.15,848,848.03,9405981.92
06/03/2018,ETHUSD,848.03,849.65,802,813.12,18969187.48
07/03/2018,ETHUSD,813.12,824.97,724,749.89,37204198.58
08/03/2018,ETHUSD,749.89,771.43,686.7,696.99,33042229.68
09/03/2018,ETHUSD,696.99,730.38,640,727,38636052.17
10/03/2018,ETHUSD,727,749.49,676.56,682.57,13794125.58
11/03/2018,ETHUSD,682.57,734.93,670.73,720.2,9098913.85
12/03/2018,ETHUSD,720.2,739,676.22,697.28,16033057.06
13/03/2018,ETHUSD,697.28,714,679.89,690.34,16866728.66
14/03/2018,ETHUSD,690.34,704.85,583.01,613.42,34516491.76
15/03/2018,ETHUSD,613.42,623.7,570.29,611.24,33265792.64
16/03/2018,ETHUSD,611.24,625.16,584.55,601.38,22499131.85
17/03/2018,ETHUSD,601.38,604.55,570,570,2642953.59
18/03/2018,ETHUSD,570,570,570,570,33763467.59
19/03/2018,ETHUSD,538.2,558.91,512.5,555.1,49705442.02
20/03/2018,ETHUSD,555.1,568.09,516.48,558.09,36153189.18
21/03/2018,ETHUSD,558.09,593,545,560.21,21343053.84
22/03/2018,ETHUSD,560.21,577.95,516.86,539.49,17424763.7
23/03/2018,ETHUSD,539.49,543,507.08,543,16908100.89
24/03/2018,ETHUSD,543,545,519.18,519.98,5865898.72
25/03/2018,ETHUSD,519.98,535,512.59,522.57,7786866.52
26/03/2018,ETHUSD,522.57,525.8,466,486.22,21202765.43
27/03/2018,ETHUSD,486.22,492.31,447,449.77,24426734.18
28/03/2018,ETHUSD,449.77,465.09,440,445.52,19059294
29/03/2018,ETHUSD,445.52,448.97,380,382.42,42566180.66
30/03/2018,ETHUSD,382.42,411,363,393.81,29882672.19
31/03/2018,ETHUSD,393.81,420.01,389.22,393.84,12335253.96
01/04/2018,ETHUSD,393.84,399.76,358.88,378.55,16266719.32
02/04/2018,ETHUSD,378.55,393.69,373,384.94,12001309.16
03/04/2018,ETHUSD,384.94,418.69,377.71,415.49,16417442.8
04/04/2018,ETHUSD,415.49,417.21,370,378.05,14844916.73
05/04/2018,ETHUSD,378.05,386.99,365.28,380.99,13523579.08
