date,symbol,open,close,low,high,volume
2019-08-04 07-AM,ETHUSDT,218.71,218.96,217.91,218.19,875132.8
2019-08-04 06-AM,ETHUSDT,218.23,218.94,218.13,218.71,1013299.78
2019-08-04 05-AM,ETHUSDT,217.78,218.8,217.06,218.23,1476287.18
2019-08-04 04-AM,ETHUSDT,219.26,219.33,216.9,217.78,2727778.65
2019-08-04 03-AM,ETHUSDT,220.8,220.9,218,219.26,2063469.19
2019-08-04 02-AM,ETHUSDT,222.27,222.31,220.04,220.8,1257506.93
2019-08-04 01-AM,ETHUSDT,222.26,222.84,222.06,222.27,580677.5
2019-08-04 12-AM,ETHUSDT,222.14,223.34,221.96,222.26,1477213.81
2019-08-03 11-PM,ETHUSDT,221.9,222.14,221.44,222.14,433732.35
2019-08-03 10-PM,ETHUSDT,221.66,222.4,221.01,221.9,779927.85
2019-08-03 09-PM,ETHUSDT,222.13,222.15,221.01,221.66,879789.71
2019-08-03 08-PM,ETHUSDT,221.8,222.26,221.43,222.13,742974.55
2019-08-03 07-PM,ETHUSDT,222.02,222.5,220.12,221.8,1669819.17
2019-08-03 06-PM,ETHUSDT,222.2,223.14,221.75,222.02,936350.27
2019-08-03 05-PM,ETHUSDT,221.58,222.75,221.46,222.2,1306689.61
2019-08-03 04-PM,ETHUSDT,220.1,222.29,219.44,221.58,1818493.65
2019-08-03 03-PM,ETHUSDT,222.72,222.72,218.5,220.1,3628171.77
2019-08-03 02-PM,ETHUSDT,222.82,222.99,222.3,222.72,917933.27
2019-08-03 01-PM,ETHUSDT,221.94,223.33,221.91,222.82,2070280.4
2019-08-03 12-PM,ETHUSDT,222.4,222.53,221,221.94,1772833.55
2019-08-03 11-AM,ETHUSDT,222.72,223,222.34,222.4,809494.48
2019-08-03 10-AM,ETHUSDT,222.08,223.05,221.64,222.72,1200351.96
2019-08-03 09-AM,ETHUSDT,222.22,223.49,220.7,222.08,2476084.18
2019-08-03 08-AM,ETHUSDT,223.18,223.37,222.21,222.22,932756.52
2019-08-03 07-AM,ETHUSDT,223,223.48,222.53,223.18,1351679.19
2019-08-03 06-AM,ETHUSDT,222.1,223,222.1,223,1237636.65
2019-08-03 05-AM,ETHUSDT,222.72,222.89,221.72,222.1,2139822.39
2019-08-03 04-AM,ETHUSDT,221.73,222.8,221.64,222.72,1546049.77
2019-08-03 03-AM,ETHUSDT,223.2,223.32,221.66,221.73,1887347.06
2019-08-03 02-AM,ETHUSDT,219.78,224.51,219.16,223.2,5019959.1
2019-08-03 01-AM,ETHUSDT,216.87,220.41,216.84,219.78,1998627.65
2019-08-03 12-AM,ETHUSDT,217.61,217.88,216.62,216.87,845609.5
2019-08-02 11-PM,ETHUSDT,217.41,217.89,216.95,217.61,707359.5
2019-08-02 10-PM,ETHUSDT,215.87,217.65,215.7,217.41,709720.76
2019-08-02 09-PM,ETHUSDT,215.38,216.51,214.31,215.87,1322751.12
2019-08-02 08-PM,ETHUSDT,216.62,216.73,214.63,215.38,1647751.48
2019-08-02 07-PM,ETHUSDT,217.2,217.31,216.33,216.62,704149.47
2019-08-02 06-PM,ETHUSDT,216.78,217.71,216.55,217.2,1554225.37
2019-08-02 05-PM,ETHUSDT,216.7,217.05,216,216.78,2309509.95
2019-08-02 04-PM,ETHUSDT,219.92,221,214.96,216.7,6307591.66
2019-08-02 03-PM,ETHUSDT,220.55,220.99,219.91,219.92,1617202.98
2019-08-02 02-PM,ETHUSDT,219.84,220.64,219.51,220.55,1096086.95
2019-08-02 01-PM,ETHUSDT,220.06,220.54,219.41,219.84,2201333.08
2019-08-02 12-PM,ETHUSDT,219.1,220.06,219.1,220.06,965918.88
2019-08-02 11-AM,ETHUSDT,219.81,220.22,219.1,219.1,1035036.01
2019-08-02 10-AM,ETHUSDT,218.86,220.04,218.82,219.81,1003320.4
2019-08-02 09-AM,ETHUSDT,219.95,220.39,218.68,218.86,2293849.74
2019-08-02 08-AM,ETHUSDT,221.09,221.54,218.6,219.95,2425771.8
2019-08-02 07-AM,ETHUSDT,219.8,222.18,219.71,221.09,3679758.12
2019-08-02 06-AM,ETHUSDT,216.56,220.37,216.28,219.8,4588627.91
2019-08-02 05-AM,ETHUSDT,216.11,216.58,215.88,216.56,938559.65
2019-08-02 04-AM,ETHUSDT,215.66,216.44,215.38,216.11,960787.25
2019-08-02 03-AM,ETHUSDT,216.04,216.11,215.48,215.66,1092596.08
2019-08-02 02-AM,ETHUSDT,216.43,216.83,216,216.04,1008899.4
2019-08-02 01-AM,ETHUSDT,216.11,216.63,216,216.43,1402282.82
2019-08-02 12-AM,ETHUSDT,216.84,217.4,215.08,216.11,1475621.46
2019-08-01 11-PM,ETHUSDT,216.7,217.1,216.35,216.84,959750.23
2019-08-01 10-PM,ETHUSDT,216.81,217.27,216.51,216.7,1587044.86
2019-08-01 09-PM,ETHUSDT,217.23,217.53,216.32,216.81,971241.29
2019-08-01 08-PM,ETHUSDT,215.89,217.77,215.37,217.23,3102645.5
2019-08-01 07-PM,ETHUSDT,214.74,216.73,214.66,215.89,2588721.79
2019-08-01 06-PM,ETHUSDT,214.6,215.31,214.32,214.74,1786596.28
2019-08-01 05-PM,ETHUSDT,213.95,214.7,213.1,214.6,1171984.57
