"DECIMAL_SCALING",""
"actual","predict"
"7794.760167598724","8911.599609375"
"7932.756841182709","9386.98046875"
"8105.508983135223","9472.0"
"8292.149752378464","9360.740234375"
"8458.549529314041","9324.25"
"8582.831919193268","9605.4404296875"
"8692.160248756409","10243.8203125"
"8846.360445022583","11201.0"
"9096.038341522217","11200.0"
"9408.417344093323","11090.0"
"9702.334553003311","11791.5302734375"
"9966.588020324707","13858.3701171875"
"10299.68112707138","13359.990234375"
"10621.355473995209","12436.0"
"10815.037041902542","12388.240234375"
"10924.603044986725","12197.0302734375"
"10951.213538646698","11199.58984375"
"10848.97443652153","10915.9501953125"
"10664.661228656769","12023.240234375"
"10578.148066997528","12052.8603515625"
"10629.159212112427","11441.83984375"
"10678.646713495255","11722.580078125"
"10673.798620700836","11624.8798828125"
"10650.831460952759","12400.0"
"10679.414123296738","12832.830078125"
"10808.412730693817","13186.900390625"
"10972.068458795547","12097.33984375"
"11036.872118711472","11947.849609375"
"10990.4944896698","11847.0"
"10905.569046735764","11458.2001953125"
"10773.38457107544","11088.4404296875"
"10596.536099910736","11030.0"
"10393.43774318695","9981.23046875"
"10146.350413560867","10795.009765625"
"9938.128292560577","10762.5"
"9854.887425899506","11122.830078125"
"9881.097078323364","10827.080078125"
"9921.889007091522","10700.0"
"9916.633367538452","10327.3798828125"
"9839.348495006561","9911.759765625"
"9701.573848724365","10183.3701171875"
"9573.1720328331","9945.23046875"
"9493.030607700348","10240.4501953125"
"9434.548020362854","9635.4501953125"
"9364.768862724304","9720.0"
"9288.53526711464","9794.650390625"
"9230.774641036987","10130.580078125"
"9222.197532653809","10490.8603515625"
"9288.859367370605","10677.3203125"
"9419.44569349289","10922.41015625"
"9581.443667411804","11085.33984375"
"9737.946093082428","11950.0"
"9925.484657287598","12321.009765625"
"10154.058784246445","12141.6796875"
"10380.466282367706","12018.990234375"
"10573.54360818863","11961.740234375"
"10723.90303015709","11973.6796875"
"10811.671614646912","11577.3798828125"
"10833.429545164108","11550.990234375"
"10825.642943382263","11444.1298828125"
"10788.547992706299","10858.509765625"
"10664.733499288559","10445.740234375"
"10452.918708324432","10539.73046875"
"10236.172378063202","10465.3701171875"
"10067.62981414795","10508.9296875"
"9956.740587949753","10931.509765625"
