"minuteZ_SCORE",""
"actual","predict","actualNor","predictNor"
"10888.9347397851","10850.8701171875","1.798455834388733","1.6466610431671143"
"10887.92208570853","10859.5703125","1.7945524454116821","1.681679129600525"
"10887.150659622532","10868.490234375","1.7919776439666748","1.7175828218460083"
"10886.91254138506","10869.990234375","1.7919526100158691","1.7236204147338867"
"10887.272206543748","10869.580078125","1.7940030097961426","1.7219700813293457"
"10887.932303468719","10871.5595703125","1.796815037727356","1.7299396991729736"
"10888.702722587046","10871.509765625","1.8000555038452148","1.729738473892212"
"10889.518603334045","10871.490234375","1.803274154663086","1.7296580076217651"
"10890.322696635956","10871.490234375","1.8065426349639893","1.7296580076217651"
"10891.00468029942","10864.419921875","1.8088829517364502","1.7012007236480713"
"10891.377554504616","10863.7802734375","1.8099514245986938","1.6986247301101685"
"10891.323889051097","10855.9404296875","1.8090198040008545","1.6670681238174438"
"10890.840248402103","10860.5703125","1.806640863418579","1.685704231262207"
"10890.283839530537","10861.7001953125","1.8047702312469482","1.6902525424957275"
"10889.97002101757","10870.0","1.8037470579147339","1.7236605882644653"
"10889.881615179405","10869.98046875","1.8038125038146973","1.7235801219940186"
"10890.118815299295","10869.98046875","1.805207371711731","1.7235801219940186"
"10890.564990827592","10869.990234375","1.8070749044418335","1.7236204147338867"
"10891.050290011573","10869.990234375","1.809058666229248","1.7236204147338867"
"10891.549183259112","10875.4404296875","1.8110542297363281","1.7455570697784424"
"10892.093834302284","10875.4404296875","1.8134015798568726","1.7455570697784424"
"10892.652464426064","10867.7998046875","1.8154869079589844","1.7148054838180542"
"10892.983460622829","10865.099609375","1.8163278102874756","1.7039377689361572"
"10893.004458860436","10862.4599609375","1.8161221742630005","1.6933115720748901"
"10892.856049595763","10862.4599609375","1.8153589963912964","1.6933115720748901"
"10892.616272823305","10862.4697265625","1.8143352270126343","1.6933518648147583"
"10892.342111066553","10876.759765625","1.8132075071334839","1.7508701086044312"
"10892.239044963768","10880.4501953125","1.8133693933486938","1.765722632408142"
