"MEDIAN_NOR",""
"7086.802627717257","8304.5595703125"
"7074.724766391516","8198.01953125"
"7131.804236894846","8111.31982421875"
"7211.857966235876","8044.080078125"
"7255.570389899016","7983.02978515625"
"7259.178632509708","8180.0"
"7265.894298695326","8149.5"
"7291.899967811108","8786.3203125"
"7355.401910355091","8946.0"
"7470.1333400774","8823.75"
"7585.156660859585","8760.0"
"7658.753169224262","9094.509765625"
"7681.3312901949885","8554.9599609375"
"7669.249085252285","8621.0"
"7662.731053638458","8831.6904296875"
"7684.6741378092765","8745.75"
"7695.671307234764","8110.990234375"
"7636.824853351116","7923.97998046875"
"7532.538084976673","7876.91015625"
"7433.568772487641","8130.0"
"7379.052035992146","8058.33984375"
"7363.826789815426","7962.68017578125"
"7345.11970028162","8095.18994140625"
