"REAL","MINMAX","DECIMAL_SCALING","Z_SCORE","MEDIAN_NOR","SIGMOID_NOR","TANH_EST"
"12.27","0.0035251146724050056","0.001227","-0.9283442495901637","0.05941888619854721","0.99999530965628","0.5000175350877739"
"12.73","0.003850727674273742","0.001273","-0.9266389268076166","0.06164648910411623","0.9999970390575972","0.5000191547946752"
"12.79","0.003893198935387054","0.001279","-0.9264164934011975","0.06193704600484261","0.9999972114889781","0.5000193660607927"
"14.35","0.004997451724333201","0.0014349999999999999","-0.9206332248342984","0.06949152542372881","0.9999994140319587","0.5000248589798458"
"14.35","0.004997451724333201","0.0014349999999999999","-0.9206332248342984","0.06949152542372881","0.9999994140319587","0.5000248589798458"
"14.13","0.0048417237669177195","0.001413","-0.9214488139911688","0.06842615012106538","0.9999992698389641","0.5000240843374156"
"16.05","0.006200804122543747","0.001605","-0.9143309449857546","0.07772397094430993","0.999999892953242","0.5000308448531662"
"14.16","0.0048629593974743755","0.001416","-0.9213375972879593","0.06857142857142857","0.9999992914184688","0.5000241899704743"
"13.92","0.004693074353021122","0.001392","-0.9222273309136361","0.067409200968523","0.9999990992165037","0.5000233449060049"
"14.4","0.005032844441927629","0.00144","-0.9204478636622825","0.06973365617433414","0.9999994426099414","0.5000250350349437"
"14.64","0.005202729486380882","0.001464","-0.9195581300366057","0.07089588377723971","0.9999995615413984","0.5000258800994128"
"14.73","0.005266436378050852","0.0014730000000000001","-0.919224479926977","0.0713317191283293","0.9999995992789952","0.5000261969985887"
"14.55","0.0051390225947109125","0.0014550000000000001","-0.9198917801462344","0.07046004842615013","0.9999995202498934","0.5000255632002368"
"14.47","0.005082394246559829","0.0014470000000000002","-0.92018835802146","0.0700726392251816","0.9999994802929345","0.5000252815120805"
"14.16","0.0048629593974743755","0.001416","-0.9213375972879593","0.06857142857142857","0.9999992914184688","0.5000241899704743"
"15.75","0.0059884478169771795","0.001575","-0.9154431120178507","0.07627118644067797","0.9999998555019962","0.5000297885225808"
"17.64","0.007326292542046549","0.0017640000000000002","-0.9084364597156462","0.08542372881355932","0.9999999781704225","0.5000364434052635"
"19.07","0.008338524265247184","0.001907","-0.9031351301959888","0.09234866828087167","0.9999999947759872","0.5000414785810416"
